wms_company_id,sku_code,asn_id,original_qty,receive_qty,create_time,closed_date,asn_line_id,inc_day
Pernod,30087,ONEYGOTB03746500,13860,13860,2021/5/28 8:37,2021/6/1 13:48,248949,20210601
Pernod,13012,ONEYLIVA68562800,2160,2160,2021/5/28 8:39,2021/6/1 18:49,249026,20210601
Pernod,13012,ONEYLIVA68562800,5670,3510,2021/5/28 8:39,2021/6/1 18:49,248951,20210601
Pernod,13012,ONEYLIVA68572900,5670,5670,2021/5/28 8:38,2021/6/1 18:49,248950,20210601
Pernod,BF0936,ONEYLIVB11758400,18900,12780,2021/5/28 8:56,2021/6/1 18:49,248962,20210601
Pernod,BF0936,ONEYLIVB11758400,6120,6120,2021/5/28 8:56,2021/6/1 18:49,249025,20210601
Pernod,BT0085,ONEYLIVB11764800,2880,2880,2021/5/30 0:11,2021/6/1 13:48,248971,20210601
Pernod,AB1626,ONEYLIVB11764800,165,165,2021/5/30 0:11,2021/6/1 13:48,248970,20210601
Pernod,13012,ONEYLIVB11764800,270,270,2021/5/30 0:11,2021/6/1 13:48,249020,20210601
Pernod,13012,ONEYLIVB11764800,4590,4320,2021/5/30 0:11,2021/6/1 13:48,248969,20210601
Pernod,11295,ONEYLIVB11766300,8004,4608,2021/5/30 0:12,2021/6/1 18:49,248972,20210601
Pernod,11295,ONEYLIVB11766300,3396,3396,2021/5/30 0:12,2021/6/1 18:49,249024,20210601
Pernod,BOG006,ONEYLIVB11766300,150,150,2021/5/30 0:12,2021/6/1 18:49,248974,20210601
Pernod,CPP106,ONEYLIVB11766300,1038,1038,2021/5/30 0:12,2021/6/1 18:49,248975,20210601
Pernod,13387,ONEYLIVB11766300,1080,1080,2021/5/30 0:12,2021/6/1 18:49,248973,20210601
Pernod,11520,ONEYLIVB12140400,5580,5580,2021/5/30 0:14,2021/6/1 13:48,248976,20210601
Pernod,BT0064,ONEYLIVB12140400,64800,51840,2021/5/30 0:14,2021/6/1 13:48,248977,20210601
Pernod,BT0064,ONEYLIVB12140400,12960,12960,2021/5/30 0:14,2021/6/1 13:48,249019,20210601
Pernod,11385,ONEYLIVB12167600,14784,14784,2021/5/28 8:45,2021/6/1 18:49,248956,20210601
Pernod,11108,ONEYLIVB12167600,948,948,2021/5/28 8:45,2021/6/1 18:49,248955,20210601
Pernod,18102,ONEYLIVB12167600,5400,5400,2021/5/28 8:45,2021/6/1 18:49,248957,20210601
Pernod,15126,ONEYLIVB16831800,12600,12000,2021/5/28 8:42,2021/6/1 13:48,248952,20210601
Pernod,15126,ONEYLIVB16831800,600,600,2021/5/28 8:42,2021/6/1 13:48,249021,20210601
Pernod,LL2419,HLCULE1210300229,900,900,2021/5/24 9:50,2021/6/2 12:09,248889,20210602
Pernod,LL7111,HLCULE1210300229,60,60,2021/5/24 9:50,2021/6/2 12:09,248898,20210602
Pernod,LL3719,HLCULE1210300229,3360,3360,2021/5/24 9:50,2021/6/2 12:09,248888,20210602
Pernod,LL0119,HLCULE1210300229,840,840,2021/5/24 9:50,2021/6/2 12:09,248890,20210602
Pernod,LL0418,HLCULE1210300229,840,840,2021/5/24 9:50,2021/6/2 12:09,248891,20210602
Pernod,LL4117,HLCULE1210300229,660,660,2021/5/24 9:50,2021/6/2 12:09,248892,20210602
Pernod,LL3118,HLCULE1210300229,360,360,2021/5/24 9:50,2021/6/2 12:09,248893,20210602
Pernod,LL3517,HLCULE1210300229,240,240,2021/5/24 9:50,2021/6/2 12:09,248894,20210602
Pernod,LL8117,HLCULE1210300229,120,120,2021/5/24 9:50,2021/6/2 12:09,248895,20210602
Pernod,LL1318,HLCULE1210300229,120,120,2021/5/24 9:50,2021/6/2 12:09,248896,20210602
Pernod,LL5515,HLCULE1210300229,300,300,2021/5/24 9:50,2021/6/2 12:09,248897,20210602
Pernod,11468,ONEYLIVB10356400,15120,15120,2021/5/30 0:09,2021/6/2 19:07,248968,20210602
Pernod,12417,ONEYLIVB11733400,2160,2160,2021/5/28 8:48,2021/6/2 18:59,249049,20210602
Pernod,12417,ONEYLIVB11733400,15120,10800,2021/5/28 8:48,2021/6/2 18:59,248959,20210602
Pernod,12417,ONEYLIVB11733400,2160,2160,2021/5/28 8:48,2021/6/2 18:59,249048,20210602
Pernod,12946,ONEYLIVB11737800,15120,15120,2021/5/28 8:59,2021/6/2 15:05,248965,20210602
Pernod,12946,ONEYLIVB11745700,15120,15120,2021/5/28 9:00,2021/6/2 15:05,248966,20210602
Pernod,12417,ONEYLIVB11747900,15120,14400,2021/5/28 8:58,2021/6/2 19:07,248964,20210602
Pernod,12417,ONEYLIVB11747900,720,720,2021/5/28 8:58,2021/6/2 19:07,249039,20210602
Pernod,11468,ONEYLIVB11748300,5760,5760,2021/5/28 9:01,2021/6/2 19:00,249045,20210602
Pernod,11468,ONEYLIVB11748300,4320,4320,2021/5/28 9:01,2021/6/2 19:00,249044,20210602
Pernod,11468,ONEYLIVB11748300,15120,5040,2021/5/28 9:01,2021/6/2 19:00,248967,20210602
