dwd_wh_dsc_outbound_line_dtl_di.wms_company_id,dwd_wh_dsc_outbound_line_dtl_di.wms_company_name,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_outbound_line_dtl_di.sku_code,dwd_wh_dsc_outbound_line_dtl_di.sku_name,dwd_wh_dsc_outbound_line_dtl_di.sku_desc,dwd_wh_dsc_outbound_line_dtl_di.sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.batch_number,dwd_wh_dsc_outbound_line_dtl_di.serial_number,dwd_wh_dsc_outbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.order_id,dwd_wh_dsc_outbound_line_dtl_di.order_line,dwd_wh_dsc_outbound_line_dtl_di.order_status,dwd_wh_dsc_outbound_line_dtl_di.order_type,dwd_wh_dsc_outbound_line_dtl_di.launch_number,dwd_wh_dsc_outbound_line_dtl_di.pick_no,dwd_wh_dsc_outbound_line_dtl_di.pick_create_date,dwd_wh_dsc_outbound_line_dtl_di.required_ship_date,dwd_wh_dsc_outbound_line_dtl_di.inventory_status,dwd_wh_dsc_outbound_line_dtl_di.original_order_qty,dwd_wh_dsc_outbound_line_dtl_di.allocated_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.quantity_um,dwd_wh_dsc_outbound_line_dtl_di.volume_um,dwd_wh_dsc_outbound_line_dtl_di.weight_um,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.priority,dwd_wh_dsc_outbound_line_dtl_di.closed_date,dwd_wh_dsc_outbound_line_dtl_di.create_date,dwd_wh_dsc_outbound_line_dtl_di.last_modified_date,dwd_wh_dsc_outbound_line_dtl_di.src_inc_day,dwd_wh_dsc_outbound_line_dtl_di.data_source,dwd_wh_dsc_outbound_line_dtl_di.shipment_id,dwd_wh_dsc_outbound_line_dtl_di.inc_day,dwd_wh_dsc_outbound_line_dtl_di.src
Pernod,Pernod,FAS,FAS,DBL0N7,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒,null,null,null,null,42021930,501725,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,1200.0,null,1200.0,1.3824E7,9192.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156167,20210601,scale
Pernod,Pernod,FAS,FAS,DBL119,DBL119,传奇源自拉菲罗斯柴尔德波尔多白葡萄酒,null,null,null,null,42021929,501727,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,60.0,null,60.0,714240.0,480.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156168,20210601,scale
Pernod,Pernod,FAS,FAS,DBL0N7,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒,null,null,null,null,42021929,501726,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,120.0,null,120.0,1382400.0,919.2,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156168,20210601,scale
Pernod,Pernod,FAS,FAS,DBC017,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒,null,null,null,null,42021929,501728,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,60.0,null,60.0,723168.0,459.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156168,20210601,scale
Pernod,Pernod,FAS,FAS,DBL0N7,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒,null,null,null,null,42021931,501729,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,3600.0,null,3600.0,4.1472E7,27576.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156169,20210601,scale
Pernod,Pernod,FAS,FAS,DBL0N7,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒,null,null,null,null,42021932,501730,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,600.0,null,600.0,6912000.0,4596.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156170,20210601,scale
Pernod,Pernod,FAS,FAS,DBC017,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒,null,null,null,null,42021933,501731,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,120.0,null,120.0,1446336.0,918.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156171,20210601,scale
Pernod,Pernod,FAS,FAS,DBL0N7,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒,null,null,null,null,42021934,501732,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,600.0,null,600.0,6912000.0,4596.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156172,20210601,scale
Pernod,Pernod,FAS,FAS,DBC017,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒,null,null,null,null,42021935,501733,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,60.0,null,60.0,723168.0,459.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156173,20210601,scale
Pernod,Pernod,FAS,FAS,DBC017,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒,null,null,null,null,42021936,501734,900.0,398DPWH5,297693,null,null,2021-05-31 00:00:00,null,60.0,null,60.0,723168.0,459.0,BT,null,KG,null,null,0,2021-06-01 13:29:24,2021-05-28 09:32:02,2021-06-01 05:29:33,20210803,scale_fas,156174,20210601,scale
