,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,TRSC #,Ship ID,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE
0,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6426999,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-53-B,600,BT,3/16/2021  12:00:00 AM,Receving,A-FAS
1,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6427001,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-53-B,6000,BT,3/26/2021  12:00:00 AM,Receving,
2,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6427001,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-53-B,6000,BT,3/26/2021  12:00:00 AM,Receving,A-BJPRD
3,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6426999,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-53-B,600,BT,3/16/2021  12:00:00 AM,Receving,
4,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6427001,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-53-B,6000,BT,3/26/2021  12:00:00 AM,Receving,A-FAS
5,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6426997,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-52-B,6000,BT,3/26/2021  12:00:00 AM,Receving,
6,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6426997,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-52-B,6000,BT,3/26/2021  12:00:00 AM,Receving,A-BJPRD
7,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6426999,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-53-B,600,BT,3/16/2021  12:00:00 AM,Receving,A-BJPRD
8,FAS,Pernod,5/28/2021,6/1/2021,015126,格兰威特单一麦芽苏格兰威士忌12年陈酿-无盒装 12 X 70CL,Receving,Bonded Normal,6426997,ONEYLIVB16831800,,20017763.0,450524.0,,RECV-1,02-52-B,6000,BT,3/26/2021  12:00:00 AM,Receving,A-FAS
9,FAS,Pernod,5/30/2021,6/1/2021,013012,皇家礼炮21年苏格兰威士忌 6 X 50CL,Receving,Bonded Normal,6427021,ONEYLIVB11764800,,20017226.0,458455.0,,RECV-1,02-48-B,3240,BT,3/17/2021  12:00:00 AM,Receving,
