,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,TRSC #,Ship ID,awb,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE
0,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,6426712,42021941,,,,,,4-14-C-24,SHIP-1,120,BT,11/25/2020  12:00:00 AM,Order Pick,A-FAS
1,FAS,Pernod,5/28/2021,6/1/2021,DBL119,传奇源自拉菲罗斯柴尔德波尔多白葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426706,42021942,,,,,,3-12-A-30,SHIP-1,60,BT,11/23/2020  12:00:00 AM,Order Pick,A-FAS
2,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,6426708,42021942,,,,,,4-14-C-24,SHIP-1,300,BT,11/25/2020  12:00:00 AM,Order Pick,A-FAS
3,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,6426702,42021943,,,,,,4-14-C-24,SHIP-1,120,BT,11/25/2020  12:00:00 AM,Order Pick,A-FAS
4,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426746,42021934,,,,,,5-04-C-29,SHIP-1,288,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
5,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426748,42021934,,,,,,5-04-C-30,SHIP-1,312,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
6,FAS,Pernod,5/28/2021,6/1/2021,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426742,42021935,,,,,,3-11-A-16,SHIP-1,60,BT,10/26/2020  12:00:00 AM,Order Pick,A-FAS
7,FAS,Pernod,5/28/2021,6/1/2021,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒 6 X 75CL,Order Pick,Jin2 Hold,6426738,42021936,,,,,,3-10-A-43,SHIP-1,60,BT,12/8/2020  12:00:00 AM,Order Pick,A-FAS
8,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426730,42021937,,,,,,5-04-C-20,SHIP-1,672,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
9,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426732,42021937,,,,,,5-04-C-19,SHIP-1,168,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
