dwd_wh_dsc_inbound_line_dtl_di.wms_company_id,dwd_wh_dsc_inbound_line_dtl_di.wms_company_name,dwd_wh_dsc_inbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_inbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_inbound_line_dtl_di.internal_id,dwd_wh_dsc_inbound_line_dtl_di.asn_id,dwd_wh_dsc_inbound_line_dtl_di.asn_line_id,dwd_wh_dsc_inbound_line_dtl_di.asn_status,dwd_wh_dsc_inbound_line_dtl_di.sku_code,dwd_wh_dsc_inbound_line_dtl_di.sku_name,dwd_wh_dsc_inbound_line_dtl_di.sku_desc,dwd_wh_dsc_inbound_line_dtl_di.sku_barcode,dwd_wh_dsc_inbound_line_dtl_di.batch_number,dwd_wh_dsc_inbound_line_dtl_di.serial_number,dwd_wh_dsc_inbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_inbound_line_dtl_di.product_category,dwd_wh_dsc_inbound_line_dtl_di.product_status,dwd_wh_dsc_inbound_line_dtl_di.original_qty,dwd_wh_dsc_inbound_line_dtl_di.receive_qty,dwd_wh_dsc_inbound_line_dtl_di.receive_volume,dwd_wh_dsc_inbound_line_dtl_di.receive_weight,dwd_wh_dsc_inbound_line_dtl_di.quantity_um,dwd_wh_dsc_inbound_line_dtl_di.volume_um,dwd_wh_dsc_inbound_line_dtl_di.weight_um,dwd_wh_dsc_inbound_line_dtl_di.std_receive_volume,dwd_wh_dsc_inbound_line_dtl_di.std_receive_weight,dwd_wh_dsc_inbound_line_dtl_di.expire_date,dwd_wh_dsc_inbound_line_dtl_di.create_time,dwd_wh_dsc_inbound_line_dtl_di.receipt_time,dwd_wh_dsc_inbound_line_dtl_di.closed_date,dwd_wh_dsc_inbound_line_dtl_di.last_modified_date,dwd_wh_dsc_inbound_line_dtl_di.src_inc_day,dwd_wh_dsc_inbound_line_dtl_di.data_source,dwd_wh_dsc_inbound_line_dtl_di.inc_day,dwd_wh_dsc_inbound_line_dtl_di.src
Pernod-Wine,Pernod-Wine,JIQ,JIQ,26891,39942664,104748,null,PJ2221,PJ2221,美丽时光·巴黎艺术经典香槟 12 X 37.5CL,null,null,null,null,null,null,180.0,180.0,0.0,2070.0,BT,BT,KG,null,null,4712-12-31 00:00:00,2021-06-01 08:48:14,2021-06-01 00:00:00,2021-06-01 16:49:26,2021-06-01 08:49:26,20210803,scale_jiq,20210601,scale
Pernod-Zhong,Pernod-Zhong,JIQ,JIQ,26898,20210602,104880,null,HPG001,HPG001,黑瓶盖,null,null,null,null,null,null,97.0,97.0,0.0,0.0,PC,BT,null,null,null,4712-12-31 00:00:00,2021-06-02 08:10:07,2021-06-02 00:00:00,2021-06-02 16:11:37,2021-06-02 08:11:37,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104871,null,18712-20.000.00,18712-20.000.00,水景250/2喷灌装置,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104870,null,00013-66.666.66,00013-66.666.66,膨胀螺丝,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104869,null,00241-20.000.00,00241-20.000.00,水管架,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104868,null,18216-50.000.00,18216-50.000.00,水管接头,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104867,null,00030-66.666.66,00030-66.666.66,嘉丁拿粘虫板,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104866,null,08857-20.000.00,08857-20.000.00,修枝剪,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104865,null,11540-20.000.00,11540-20.000.00,灌木手套,null,null,null,null,null,null,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
Husqvarna,Husqvarna,JIQ,JIQ,26892,20210602001,104864,Damage,07330-20.000.00,07330-20.000.00,龙头1/2,null,null,null,null,null,Damage,1.0,1.0,0.0,0.0,PC,BT,null,null,null,null,2021-06-02 02:08:59,2021-06-02 00:00:00,2021-06-02 15:30:26,2021-06-02 07:30:26,20210803,scale_jiq,20210602,scale
