dwd_wh_dsc_outbound_line_dtl_di.wms_company_id,dwd_wh_dsc_outbound_line_dtl_di.wms_company_name,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_outbound_line_dtl_di.sku_code,dwd_wh_dsc_outbound_line_dtl_di.sku_name,dwd_wh_dsc_outbound_line_dtl_di.sku_desc,dwd_wh_dsc_outbound_line_dtl_di.sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.batch_number,dwd_wh_dsc_outbound_line_dtl_di.serial_number,dwd_wh_dsc_outbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.order_id,dwd_wh_dsc_outbound_line_dtl_di.order_line,dwd_wh_dsc_outbound_line_dtl_di.order_status,dwd_wh_dsc_outbound_line_dtl_di.order_type,dwd_wh_dsc_outbound_line_dtl_di.launch_number,dwd_wh_dsc_outbound_line_dtl_di.pick_no,dwd_wh_dsc_outbound_line_dtl_di.pick_create_date,dwd_wh_dsc_outbound_line_dtl_di.required_ship_date,dwd_wh_dsc_outbound_line_dtl_di.inventory_status,dwd_wh_dsc_outbound_line_dtl_di.original_order_qty,dwd_wh_dsc_outbound_line_dtl_di.allocated_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.quantity_um,dwd_wh_dsc_outbound_line_dtl_di.volume_um,dwd_wh_dsc_outbound_line_dtl_di.weight_um,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.priority,dwd_wh_dsc_outbound_line_dtl_di.closed_date,dwd_wh_dsc_outbound_line_dtl_di.create_date,dwd_wh_dsc_outbound_line_dtl_di.last_modified_date,dwd_wh_dsc_outbound_line_dtl_di.src_inc_day,dwd_wh_dsc_outbound_line_dtl_di.data_source,dwd_wh_dsc_outbound_line_dtl_di.shipment_id,dwd_wh_dsc_outbound_line_dtl_di.inc_day,dwd_wh_dsc_outbound_line_dtl_di.src
Pernod-Wine,Pernod-Wine,JIQ,JIQ,035906,035906,绝对风味伏特加(覆盆莓味),null,null,null,null,42021858,460982,900.0,398DPWH6,152816,null,null,2021-05-31 00:00:00,null,120.0,null,120.0,0.0,867.6,BT,null,KG,null,null,0,2021-06-01 16:22:46,2021-05-28 10:46:01,2021-06-01 08:23:09,20210803,scale_jiq,83294,20210601,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,035414,035414,绝对X伏特加风味配制酒 192 X 5CL,null,null,null,null,31956958,461184,900.0,null,152846,null,null,2021-06-01 00:00:00,null,192.0,null,192.0,0.0,2304.0,BT,null,null,null,null,0,2021-06-01 16:22:46,2021-06-01 01:20:02,2021-06-01 08:23:10,20210803,scale_jiq,83319,20210601,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,035906,035906,绝对风味伏特加(覆盆莓味),null,null,null,null,42021965,461118,900.0,398DPWH6,152846,null,null,2021-06-02 00:00:00,null,180.0,null,180.0,0.0,1301.4,BT,null,KG,null,null,0,2021-06-02 15:32:11,2021-05-31 09:16:00,2021-06-02 07:32:39,20210803,scale_jiq,83313,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,035906,035906,绝对风味伏特加(覆盆莓味),null,null,null,null,42021798,461119,900.0,398DPWH6,152846,null,null,2021-06-02 00:00:00,null,300.0,null,300.0,0.0,2169.0,BT,null,KG,null,null,0,2021-06-02 15:32:11,2021-05-31 09:46:01,2021-06-02 07:32:40,20210803,scale_jiq,83314,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,013829,013829,皇家礼炮21年苏格兰威士忌-有盒装 6 X 70CL,null,null,null,null,39942620,461504,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,6.0,null,6.0,197316.0,69.6,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:29,20210803,scale_jiq,83340,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,011117,011117,芝华士12年苏格兰威士忌-无盒装 6 X 150CL,null,null,null,null,39942620,461505,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,6.0,null,6.0,163296.0,97.8,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:29,20210803,scale_jiq,83340,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,009527,009527,马爹利尚选XXO干邑白兰地-有盒装 6 X 70CL,null,null,null,null,39942623,461506,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,6.0,null,6.0,0.0,117.18,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:30,20210803,scale_jiq,83341,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,013829,013829,皇家礼炮21年苏格兰威士忌-有盒装 6 X 70CL,null,null,null,null,39942623,461507,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,6.0,null,6.0,197316.0,69.6,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:30,20210803,scale_jiq,83341,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,ORB719,ORB719,杰卡斯经典系列霞多丽干白葡萄酒 6 X 75CL,null,null,null,null,39942623,461508,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,0.0,null,0.0,0.0,0.0,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:30,20210803,scale_jiq,83341,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,013829,013829,皇家礼炮21年苏格兰威士忌-有盒装 6 X 70CL,null,null,null,null,39942622,461509,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,6.0,null,6.0,197316.0,69.6,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:31,20210803,scale_jiq,83342,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,BF1024,BF1024,必富达金酒蒸馏酒-AJ鸡尾酒伴组B1 120 X 5CL,null,null,null,null,39942622,461510,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,0.0,null,0.0,0.0,0.0,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:31,20210803,scale_jiq,83342,20210602,scale
Pernod-Wine,Pernod-Wine,JIQ,JIQ,013829,013829,皇家礼炮21年苏格兰威士忌-有盒装 6 X 70CL,null,null,null,null,39942626,461513,900.0,TOF,152872,null,null,2021-06-01 00:00:00,null,6.0,null,6.0,197316.0,69.6,BT,null,KG,null,null,0,2021-06-02 10:34:58,2021-06-01 06:16:01,2021-06-02 02:35:32,20210803,scale_jiq,83343,20210602,scale
