日期,外部物料号,物料名称,已收数量
2021/6/2,009527,马爹利尚选XXO干邑白兰地-有盒装,18
2021/6/2,015887,格兰威特单一麦芽苏格兰威士忌50年陈酿温切斯特典藏系列,2
2021/6/2,015868,格兰威特单一麦芽苏格兰威士忌50年陈酿温切斯特典藏系列,1
2021/6/2,015877,格兰威特单一麦芽苏格兰威士忌50年陈酿温切斯特典藏系列,1
2021/6/2,004687,马爹利XO干邑白兰地-有盒装,12
2021/6/2,012537,芝华士25年苏格兰威士忌-皮盒装,72
2021/6/2,AB2246,亚伯乐斯佩塞单一麦芽苏格兰威士忌12年双桶陈酿,48
2021/6/2,AB1626,亚伯乐斯佩塞单一麦芽苏格兰威士忌16年双桶陈酿,18
2021/6/2,MK0610,猴王47黑森林楒洛金酒风味配制酒,54
2021/6/3,030008,绝对伏特加(原味)-定制瓶,54
2021/6/3,PJW600,美丽时光·巴黎艺术年份香槟-高定系列 2000年份金衣装,3
2021/6/3,LL7111,路易乐图香贝丹干红葡萄酒,360
2021/6/3,013347,皇家礼炮苏格兰威士忌-高年份家族系列二白金年代,3
2021/6/3,013437,皇家礼炮时光典藏系列52年苏格兰威士忌,2
2021/6/5,011563,芝华士18年苏格兰威士忌,100
2021/6/9,LMN406,朗摩苏格兰斯佩塞单一麦芽威士忌23年,4
2021/6/9,LL3517,路易乐图阿诺戈东乐图庄园干红葡萄酒,60
2021/6/12,PJW588,美丽时光·巴黎艺术1988年份香槟-重构生长限量礼盒,2
2021/6/12,PJW589,美丽时光·巴黎艺术1989年份香槟-重构生长限量礼盒,2
2021/6/12,PJW590,美丽时光·巴黎艺术1990年份香槟-重构生长限量礼盒,2
2021/6/12,PJW599,美丽时光·巴黎艺术1999年份香槟-重构生长限量礼盒,4
2021/6/15,001021,马爹利1921稀有年份干邑白兰地,10
2021/6/16,004633,马爹利XO干邑白兰地,6
2021/6/16,CAP106,卡普多尼克苏格兰斯佩塞单一麦芽威士忌25年,5
2021/6/16,CAP006,卡普多尼克苏格兰斯佩塞单一麦芽威士忌30年,6
2021/6/16,CPP206,卡普多尼克苏格兰斯佩塞单一麦芽威士忌18年泥煤风味,12
2021/6/16,LL2419,路易乐图莎布利干白葡萄酒,12
2021/6/16,LL3517,路易乐图阿诺戈东乐图庄园干红葡萄酒,24
2021/6/16,PJB412,美丽时光·巴黎艺术年份香槟,6
