rh.asn_id,rh.wms_warehouse_id,rh.wms_warehouse_name,rd.internal_receipt_num,rd.item,rd.item_category5,rd.original_total_quantity,rd.total_qty,rd.erp_order_line_num,rh.closed_date,rh.create_time
3830931_20,MCH,MCH,55735.0,538717_126,MCH,1.0,1.0,1.0,2021-06-01 16:34:50,2021-05-31 02:06:00
3839886_20,MCH,MCH,55371.0,495612_116,MCH,600.0,600.0,1.0,2021-06-02 17:15:15,2021-05-27 11:16:06
3839900_20,MCH,MCH,55370.0,517808_102,MCH,700.0,700.0,1.0,2021-06-01 18:31:56,2021-05-27 11:16:06
3839913_20,MCH,MCH,55619.0,517808_102,MCH,300.0,300.0,2.0,2021-06-01 14:19:27,2021-05-29 12:51:00
3839913_20,MCH,MCH,55619.0,517808_102,MCH,1000.0,1000.0,1.0,2021-06-01 14:19:27,2021-05-29 12:51:00
3849401_20,MCH,MCH,55857.0,950403_106,MCH,700.0,700.0,1.0,2021-06-01 18:37:36,2021-06-01 09:46:03
3849407_20,MCH,MCH,55856.0,950403_106,MCH,700.0,700.0,1.0,2021-06-01 18:35:11,2021-06-01 09:46:03
3858942_20,MCH,MCH,56046.0,950403_106,MCH,700.0,700.0,1.0,2021-06-03 19:24:04,2021-06-03 11:16:02
3858944_20,MCH,MCH,56047.0,950403_106,MCH,700.0,700.0,1.0,2021-06-03 19:21:13,2021-06-03 11:16:04
3858946_20,MCH,MCH,56027.0,950403_106,MCH,700.0,700.0,1.0,2021-06-03 17:10:44,2021-06-03 08:56:01
3858952_20,MCH,MCH,56026.0,950403_106,MCH,700.0,700.0,1.0,2021-06-03 17:04:11,2021-06-03 08:56:01
3859081_20,MCH,MCH,55601.0,555774_101,MCH,120.0,120.0,1.0,2021-06-03 17:38:04,2021-05-29 08:21:01
3863088_20,MCH,MCH,56008.0,950403_106,MCH,700.0,700.0,1.0,2021-06-03 11:42:05,2021-06-03 03:36:01
3863093_20,MCH,MCH,56007.0,950403_106,MCH,700.0,700.0,1.0,2021-06-03 11:39:38,2021-06-03 03:36:01
3863098_20,MCH,MCH,56133.0,950403_106,MCH,700.0,700.0,1.0,2021-06-04 19:13:03,2021-06-04 11:06:00
3863103_20,MCH,MCH,56134.0,950403_106,MCH,700.0,700.0,1.0,2021-06-04 19:13:41,2021-06-04 11:06:00
3870796_20,MCH,MCH,56219.0,950403_106,MCH,700.0,700.0,1.0,2021-06-05 18:17:20,2021-06-05 09:36:01
3870799_20,MCH,MCH,56221.0,950403_106,MCH,700.0,700.0,1.0,2021-06-05 18:21:27,2021-06-05 09:41:01
3870804_20,MCH,MCH,56482.0,950403_106,MCH,700.0,700.0,1.0,2021-06-08 15:34:31,2021-06-08 04:56:01
3870805_20,MCH,MCH,56481.0,950403_106,MCH,700.0,700.0,1.0,2021-06-08 15:37:29,2021-06-08 04:56:01
3870806_20,MCH,MCH,56507.0,950403_106,MCH,700.0,700.0,1.0,2021-06-08 18:32:34,2021-06-08 10:16:01
3870808_20,MCH,MCH,56506.0,950403_106,MCH,700.0,700.0,1.0,2021-06-08 18:34:24,2021-06-08 10:16:01
3870810_20,MCH,MCH,56412.0,950403_106,MCH,700.0,700.0,1.0,2021-06-07 18:07:57,2021-06-07 10:01:04
3870811_20,MCH,MCH,56413.0,950403_106,MCH,700.0,700.0,1.0,2021-06-07 18:12:10,2021-06-07 10:01:04
3870814_20,MCH,MCH,56753.0,950403_106,MCH,700.0,700.0,1.0,2021-06-11 17:46:07,2021-06-11 09:16:01
3870822_20,MCH,MCH,56754.0,950403_106,MCH,700.0,700.0,1.0,2021-06-11 17:42:58,2021-06-11 09:16:02
3870823_20,MCH,MCH,56837.0,950403_106,MCH,700.0,700.0,1.0,2021-06-12 17:31:52,2021-06-12 08:26:01
3870825_20,MCH,MCH,56838.0,950403_106,MCH,700.0,700.0,1.0,2021-06-12 17:31:41,2021-06-12 08:26:01
3870826_20,MCH,MCH,56914.0,950403_106,MCH,700.0,700.0,1.0,2021-06-13 15:04:00,2021-06-13 06:56:00
3878385_20,MCH,MCH,56567.0,517808_102,MCH,29.0,29.0,4.0,2021-06-15 09:03:29,2021-06-09 02:01:01
3878385_20,MCH,MCH,56567.0,955962_115,MCH,2.0,2.0,3.0,2021-06-15 09:03:29,2021-06-09 02:01:01
3878385_20,MCH,MCH,56567.0,677456_107,MCH,2.0,2.0,2.0,2021-06-15 09:03:29,2021-06-09 02:01:01
3878385_20,MCH,MCH,56567.0,416390_106,MCH,90.0,90.0,1.0,2021-06-15 09:03:29,2021-06-09 02:01:01
3879612_20,MCH,MCH,56410.0,996667_103,MCH,500.0,500.0,1.0,2021-06-07 18:05:16,2021-06-07 10:01:03
3887479_20,MCH,MCH,56566.0,422336_103,MCH,2.0,2.0,1.0,2021-06-15 09:56:29,2021-06-09 02:01:01
3900167_20,MCH,MCH,57046.0,215487_110,MCH,16.0,16.0,1.0,2021-06-17 14:31:24,2021-06-15 08:31:01
3915622_20,MCH,MCH,57033.0,555774_101,MCH,700.0,700.0,1.0,2021-06-15 14:24:33,2021-06-15 05:41:06
3915627_20,MCH,MCH,57032.0,555774_101,MCH,700.0,700.0,1.0,2021-06-15 15:04:08,2021-06-15 05:41:05
3915642_20,MCH,MCH,57094.0,555774_101,MCH,700.0,700.0,1.0,2021-06-16 17:27:17,2021-06-16 00:01:01
3915676_20,MCH,MCH,57134.0,555774_101,MCH,700.0,700.0,1.0,2021-06-16 18:10:08,2021-06-16 09:41:01
3915702_20,MCH,MCH,57135.0,555774_101,MCH,700.0,700.0,1.0,2021-06-16 18:14:57,2021-06-16 09:41:03
3915704_20,MCH,MCH,57215.0,555774_101,MCH,700.0,700.0,1.0,2021-06-17 13:32:00,2021-06-17 05:11:02
3915705_20,MCH,MCH,57214.0,555774_101,MCH,700.0,700.0,1.0,2021-06-17 13:28:41,2021-06-17 05:06:00
3915707_20,MCH,MCH,57382.0,555774_101,MCH,700.0,700.0,1.0,2021-06-19 14:03:34,2021-06-19 05:56:01
3915716_20,MCH,MCH,57383.0,555774_101,MCH,700.0,700.0,1.0,2021-06-19 14:03:17,2021-06-19 05:56:01
3915724_20,MCH,MCH,57304.0,555774_101,MCH,700.0,700.0,1.0,2021-06-18 14:50:07,2021-06-18 06:26:01
3929628_20,MCH,MCH,57391.0,996667_103,MCH,500.0,500.0,1.0,2021-06-19 16:10:37,2021-06-19 07:56:00
3929639_20,MCH,MCH,57392.0,996667_103,MCH,500.0,500.0,1.0,2021-06-19 16:08:42,2021-06-19 07:56:01
3929641_20,MCH,MCH,57464.0,996667_103,MCH,500.0,500.0,1.0,2021-06-20 14:03:39,2021-06-20 05:41:05
3929642_20,MCH,MCH,57463.0,996667_103,MCH,500.0,500.0,1.0,2021-06-20 14:02:05,2021-06-20 05:41:05
3937998_20,MCH,MCH,57540.0,996667_103,MCH,500.0,500.0,1.0,2021-06-21 17:38:54,2021-06-21 09:31:01
3945071_20,MCH,MCH,57760.0,996667_103,MCH,500.0,500.0,1.0,2021-06-23 14:26:37,2021-06-23 06:21:03
3947325_20,MCH,MCH,57871.0,996667_103,MCH,500.0,500.0,1.0,2021-06-24 15:57:46,2021-06-24 07:51:01
3947326_20,MCH,MCH,57872.0,996667_103,MCH,500.0,500.0,1.0,2021-06-24 16:00:56,2021-06-24 07:51:01
3949383_20,MCH,MCH,57631.0,996667_103,MCH,500.0,500.0,1.0,2021-06-22 19:54:57,2021-06-22 02:16:01
3949680_20,MCH,MCH,57632.0,996667_103,MCH,500.0,500.0,1.0,2021-06-22 19:57:07,2021-06-22 02:16:01
3949798_20,MCH,MCH,58053.0,996667_103,MCH,500.0,500.0,1.0,2021-06-26 15:24:58,2021-06-26 07:11:01
3949800_20,MCH,MCH,58055.0,996667_103,MCH,500.0,500.0,1.0,2021-06-26 15:26:52,2021-06-26 07:11:05
3952405_20,MCH,MCH,57685.0,996667_103,MCH,500.0,500.0,1.0,2021-06-22 20:04:05,2021-06-22 11:41:02
3952406_20,MCH,MCH,57686.0,996667_103,MCH,500.0,500.0,1.0,2021-06-22 20:02:16,2021-06-22 11:41:04
3953238_20,MCH,MCH,58152.0,996667_103,MCH,500.0,500.0,1.0,2021-06-27 14:07:27,2021-06-27 06:01:02
3953253_20,MCH,MCH,58153.0,996667_103,MCH,500.0,500.0,1.0,2021-06-27 14:04:49,2021-06-27 06:01:03
3953272_20,MCH,MCH,58242.0,996667_103,MCH,500.0,500.0,1.0,2021-06-28 14:34:37,2021-06-28 06:31:01
3953276_20,MCH,MCH,58042.0,996667_103,MCH,500.0,500.0,1.0,2021-06-26 12:39:54,2021-06-26 04:26:00
3956377_20,MCH,MCH,58260.0,996667_103,MCH,500.0,500.0,1.0,2021-06-28 19:04:06,2021-06-28 10:06:00
3956378_20,MCH,MCH,58261.0,996667_103,MCH,500.0,500.0,1.0,2021-06-28 19:07:27,2021-06-28 10:06:00
3957433_20,MCH,MCH,57882.0,517808_102,MCH,1200.0,1200.0,1.0,2021-06-29 19:28:41,2021-06-24 09:51:03
3959597_20,MCH,MCH,58340.0,996667_103,MCH,500.0,500.0,1.0,2021-06-29 19:08:08,2021-06-29 10:51:01
3959598_20,MCH,MCH,58341.0,996667_103,MCH,500.0,500.0,1.0,2021-06-29 19:09:50,2021-06-29 10:51:01
3959599_20,MCH,MCH,58339.0,996667_103,MCH,500.0,500.0,1.0,2021-06-29 18:53:33,2021-06-29 10:46:05
3959600_20,MCH,MCH,58338.0,996667_103,MCH,500.0,500.0,1.0,2021-06-29 19:04:21,2021-06-29 10:46:01
3963451_20,MCH,MCH,58434.0,996667_103,MCH,500.0,500.0,1.0,2021-06-30 17:59:33,2021-06-30 05:51:03
3963462_20,MCH,MCH,58465.0,996667_103,MCH,500.0,500.0,1.0,2021-06-30 19:35:41,2021-06-30 11:16:01
3963464_20,MCH,MCH,58466.0,996667_103,MCH,500.0,500.0,1.0,2021-06-30 19:38:15,2021-06-30 11:16:01
5400001562,MCH,MCH,55947.0,520764_899,MCH,311.0,311.0,1.0,2021-06-02 18:24:06,2021-06-02 09:51:01
5400001567,MCH,MCH,56664.0,520764_899,MCH,325.0,325.0,1.0,2021-06-10 16:35:10,2021-06-10 06:46:01
5400001570,MCH,MCH,56757.0,520764_899,MCH,327.0,327.0,1.0,2021-06-15 15:21:42,2021-06-11 09:21:01
5400001581,MCH,MCH,57497.0,210363_103,MCH,50.0,50.0,1.0,2021-06-21 13:51:28,2021-06-20 14:51:01
5400001588,MCH,MCH,57617.0,210363_103,MCH,4.0,4.0,1.0,2021-06-22 11:04:44,2021-06-21 23:01:01
