dwd_wh_dsc_outbound_line_dtl_di.wms_company_id,dwd_wh_dsc_outbound_line_dtl_di.wms_company_name,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_id,dwd_wh_dsc_outbound_line_dtl_di.wms_warehouse_name,dwd_wh_dsc_outbound_line_dtl_di.sku_code,dwd_wh_dsc_outbound_line_dtl_di.sku_name,dwd_wh_dsc_outbound_line_dtl_di.sku_desc,dwd_wh_dsc_outbound_line_dtl_di.sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.batch_number,dwd_wh_dsc_outbound_line_dtl_di.serial_number,dwd_wh_dsc_outbound_line_dtl_di.vendor_sku_barcode,dwd_wh_dsc_outbound_line_dtl_di.order_id,dwd_wh_dsc_outbound_line_dtl_di.order_line,dwd_wh_dsc_outbound_line_dtl_di.order_status,dwd_wh_dsc_outbound_line_dtl_di.order_type,dwd_wh_dsc_outbound_line_dtl_di.launch_number,dwd_wh_dsc_outbound_line_dtl_di.pick_no,dwd_wh_dsc_outbound_line_dtl_di.pick_create_date,dwd_wh_dsc_outbound_line_dtl_di.required_ship_date,dwd_wh_dsc_outbound_line_dtl_di.inventory_status,dwd_wh_dsc_outbound_line_dtl_di.original_order_qty,dwd_wh_dsc_outbound_line_dtl_di.allocated_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_qty,dwd_wh_dsc_outbound_line_dtl_di.shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.quantity_um,dwd_wh_dsc_outbound_line_dtl_di.volume_um,dwd_wh_dsc_outbound_line_dtl_di.weight_um,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_volume,dwd_wh_dsc_outbound_line_dtl_di.std_shipped_weight,dwd_wh_dsc_outbound_line_dtl_di.priority,dwd_wh_dsc_outbound_line_dtl_di.closed_date,dwd_wh_dsc_outbound_line_dtl_di.create_date,dwd_wh_dsc_outbound_line_dtl_di.last_modified_date,dwd_wh_dsc_outbound_line_dtl_di.src_inc_day,dwd_wh_dsc_outbound_line_dtl_di.data_source,dwd_wh_dsc_outbound_line_dtl_di.shipment_id,dwd_wh_dsc_outbound_line_dtl_di.inc_day,dwd_wh_dsc_outbound_line_dtl_di.src
FERRERO,FERRERO,CD_BTS,CD_BTS,77198115,77198115,健达奇趣蛋女孩版3只装（T3）,null,null,null,null,1084578398,65793,900,SO,31010,null,null,2021-06-01 00:00:00,null,20.0,null,20.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:02,2021-06-02 09:13:50,20210804,scale_ferrero,18808,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77198117,77198117,健达奇趣蛋女孩版1只装（T24）,null,null,null,null,1084578398,65792,900,SO,31010,null,null,2021-06-01 00:00:00,null,3.0,null,3.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:02,2021-06-02 09:13:50,20210804,scale_ferrero,18808,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77200199,77200199,健达奇趣蛋女孩版1只装（T12）,null,null,null,null,1084578398,65791,900,SO,31010,null,null,2021-06-01 00:00:00,null,32.0,null,32.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:02,2021-06-02 09:13:50,20210804,scale_ferrero,18808,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77197981,77197981,健达奇趣蛋男孩版1只装（T24）,null,null,null,null,1084578398,65790,900,SO,31010,null,null,2021-06-01 00:00:00,null,12.0,null,12.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:02,2021-06-02 09:13:50,20210804,scale_ferrero,18808,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77200197,77200197,健达奇趣蛋男孩版1只装（T12）,null,null,null,null,1084578398,65789,900,SO,31010,null,null,2021-06-01 00:00:00,null,37.0,null,37.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:02,2021-06-02 09:13:50,20210804,scale_ferrero,18808,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77202375,77202375,费列罗臻品巧克力糖果礼盒32粒装,null,null,null,null,1084578402,65797,900,SO,31010,null,null,2021-06-01 00:00:00,null,50.0,null,50.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:03,2021-06-02 09:13:50,20210804,scale_ferrero,18809,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77202374,77202374,费列罗臻品巧克力糖果礼盒15粒装,null,null,null,null,1084578402,65796,900,SO,31010,null,null,2021-06-01 00:00:00,null,10.0,null,10.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:03,2021-06-02 09:13:50,20210804,scale_ferrero,18809,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77202132,77202132,费列罗榛果威化巧克力30粒装,null,null,null,null,1084578402,65795,900,SO,31010,null,null,2021-06-01 00:00:00,null,20.0,null,20.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:03,2021-06-02 09:13:50,20210804,scale_ferrero,18809,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77202109,77202109,费列罗榛果威化巧克力8粒心型装,null,null,null,null,1084578402,65794,900,SO,31010,null,null,2021-06-01 00:00:00,null,60.0,null,60.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 03:20:03,2021-06-02 09:13:50,20210804,scale_ferrero,18809,20210602,scale
FERRERO,FERRERO,CD_BTS,CD_BTS,77210252,77210252,健达快乐河马16条装,null,null,null,null,1084581596,65806,900,SO,31010,null,null,2021-06-01 00:00:00,null,3.0,null,3.0,0.0,0.0,CT,null,null,null,null,0,2021-06-02 17:13:24,2021-06-01 05:40:02,2021-06-02 09:13:50,20210804,scale_ferrero,18810,20210602,scale
