PL,WORK_ZONE,Sloc,Product_Code,Quantity,Stor_bin,Styp,No_of_Pallet
2Q,WH Bonded,1001,CZ174A#AB2,2.00000,B-03-39-C,34,1
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-13-01-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-13-02-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-13-03-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-13-04-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-13-05-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-25-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-26-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-27-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-28-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-29-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-30-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-31-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-32-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-34-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-35-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-36-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-15-37-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-01-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-02-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-03-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-04-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-05-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-06-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-07-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-08-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-09-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-10-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-11-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-12-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-13-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-14-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-15-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-16-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-17-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-18-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-19-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-20-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-21-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-22-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-23-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-24-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-25-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-26-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-27-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-28-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-29-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-30-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-32-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-33-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-34-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-35-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-36-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-37-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-38-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-39-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,B-16-40-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-01-09-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-01-10-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-01-11-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-01-12-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-01-13-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-01-14-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-01-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-02-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-03-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-04-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-05-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-06-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-07-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-08-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-09-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-10-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-02-11-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-01-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-02-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-03-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-04-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-05-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-06-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-07-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-08-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-09-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-10-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-11-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-03-12-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-01-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-02-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-03-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-04-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-05-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-06-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-07-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-08-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-09-3,34,2
2Q,WH Bonded,1001,CZ174A#AB2,42.00000,C-04-10-3,34,2
